iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"29-mar-2018"
Total Net Assets,"16,736,067,974.79"
,"175,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"WM","WASTE MANAGEMENT INC","Equity","0.72","84.12","1,438,308.00","120,990,468.96","120,990,468.96","Industriales","2937667","US94106L1098","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","0.69","112.70","1,020,184.00","114,974,736.80","114,974,736.80","Materiales","2504566","US6951561090","New York Stock Exchange Inc."
"WSO","WATSCO INC","Equity","0.68","180.97","630,855.00","114,165,829.35","114,165,829.35","Industriales","2943039","US9426222009","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.67","147.38","758,262.00","111,752,653.56","111,752,653.56","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"SCG","SCANA CORP","Equity","0.66","37.55","2,934,293.00","110,182,702.15","110,182,702.15","Servicios","2545844","US80589M1027","New York Stock Exchange Inc."
"OLN","OLIN CORP","Equity","0.65","30.39","3,601,818.00","109,459,249.02","109,459,249.02","Materiales","2658526","US6806652052","New York Stock Exchange Inc."
"HUN","HUNTSMAN CORP","Equity","0.63","29.25","3,586,208.00","104,896,584.00","104,896,584.00","Materiales","B0650B9","US4470111075","New York Stock Exchange Inc."
"SON","SONOCO PRODUCTS","Equity","0.62","48.50","2,125,453.00","103,084,470.50","103,084,470.50","Materiales","2821395","US8354951027","New York Stock Exchange Inc."
"HRB","H&R BLOCK INC","Equity","0.61","25.41","4,002,068.00","101,692,547.88","101,692,547.88","Consumo discrecional","2105505","US0936711052","New York Stock Exchange Inc."
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.58","21.45","4,560,361.00","97,819,743.45","97,819,743.45","Financieros","2659109","US6802231042","New York Stock Exchange Inc."
"IDA","IDACORP INC","Equity","0.58","88.27","1,094,178.00","96,583,092.06","96,583,092.06","Servicios","2296937","US4511071064","New York Stock Exchange Inc."
"FNB","FNB CORP","Equity","0.54","13.45","6,705,329.00","90,186,675.05","90,186,675.05","Financieros","2041308","US3025201019","New York Stock Exchange Inc."
"CNK","CINEMARK HOLDINGS INC","Equity","0.53","37.67","2,362,154.00","88,982,341.18","88,982,341.18","Consumo discrecional","B1W7RQ0","US17243V1026","New York Stock Exchange Inc."
"NUS","NU SKIN ENTERPRISES INC CLASS A","Equity","0.47","73.71","1,058,918.00","78,052,845.78","78,052,845.78","Productos básicos de consumo","2616870","US67018T1051","New York Stock Exchange Inc."
"UBSI","UNITED BANKSHARES INC","Equity","0.45","35.25","2,153,309.00","75,904,142.25","75,904,142.25","Financieros","2905794","US9099071071","NASDAQ"
"NJR","NEW JERSEY RESOURCES CORP","Equity","0.45","40.10","1,859,752.00","74,576,055.20","74,576,055.20","Servicios","2630513","US6460251068","New York Stock Exchange Inc."
"BOH","BANK OF HAWAII CORP.","Equity","0.43","83.10","875,784.00","72,777,650.40","72,777,650.40","Financieros","2074070","US0625401098","New York Stock Exchange Inc."
"AVA","AVISTA CORP","Equity","0.43","51.25","1,416,561.00","72,598,751.25","72,598,751.25","Servicios","2942605","US05379B1070","New York Stock Exchange Inc."
"VLY","VALLEY NATIONAL","Equity","0.41","12.46","5,469,742.00","68,152,985.32","68,152,985.32","Financieros","2935326","US9197941076","New York Stock Exchange Inc."
"FII","FEDERATED INVESTORS INC CLASS B","Equity","0.39","33.40","1,965,625.00","65,651,875.00","65,651,875.00","Financieros","2246288","US3142111034","New York Stock Exchange Inc."
"BKH","BLACK HILLS CORP","Equity","0.37","54.30","1,153,387.00","62,628,914.10","62,628,914.10","Servicios","2101741","US0921131092","New York Stock Exchange Inc."
"NWE","NORTHWESTERN CORP","Equity","0.35","53.80","1,082,355.00","58,230,699.00","58,230,699.00","Servicios","B03PGL4","US6680743050","New York Stock Exchange Inc."
"UFS","DOMTAR CORP","Equity","0.34","42.54","1,332,385.00","56,679,657.90","56,679,657.90","Materiales","B1T84Z4","US2575592033","New York Stock Exchange Inc."
"TUP","TUPPERWARE BRANDS CORP","Equity","0.32","48.38","1,090,417.00","52,754,374.46","52,754,374.46","Consumo discrecional","2872069","US8998961044","New York Stock Exchange Inc."
"MDP","MEREDITH CORP","Equity","0.28","53.80","860,208.00","46,279,190.40","46,279,190.40","Consumo discrecional","2578516","US5894331017","New York Stock Exchange Inc."
"TRMK","TRUSTMARK CORP","Equity","0.26","31.16","1,380,991.00","43,031,679.56","43,031,679.56","Financieros","2340210","US8984021027","NASDAQ"
"PBI","PITNEY BOWES INC","Equity","0.25","10.89","3,906,648.00","42,543,396.72","42,543,396.72","Industriales","2690506","US7244791007","New York Stock Exchange Inc."
"USD","USD CASH","Cash","0.23","100.00","38,876,170.00","38,876,169.84","38,876,169.84","Liquidez","-","-","-"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.14","1.00","23,040,098.00","23,040,098.39","23,040,098.39","Liquidez","-","US0669224778","-"
"UBFUT","CASH COLLATERAL USD UBFUT","Cash Collateral and Margins","0.02","100.00","2,677,200.00","2,677,200.00","2,677,200.00","Liquidez","-","-","-"
"ESM8","S&P500 EMINI JUN 18","Futures","0.00","2,643.00","457.00","0.00","60,392,550.00","Liquidez","-","-","Index And Options Market"
 
