iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"31-ago-2017"
Total Net Assets,"16,796,410,440.85"
,"182,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LNT","ALLIANT ENERGY CORP","Equity","0.72","42.74","2,818,796.00","120,475,341.04","120,475,341.04","Servicios","2973821","US0188021085","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.71","37.87","3,148,278.00","119,225,287.86","119,225,287.86","Servicios","2670519","US30161N1019","New York Stock Exchange Inc."
"SON","SONOCO PRODUCTS","Equity","0.69","48.26","2,402,667.00","115,952,709.42","115,952,709.42","Materiales","2821395","US8354951027","New York Stock Exchange Inc."
"SYY","SYSCO CORP","Equity","0.68","52.67","2,165,460.00","114,054,778.20","114,054,778.20","Productos básicos de consumo","2868165","US8718291078","New York Stock Exchange Inc."
"LEG","LEGGETT & PLATT INC","Equity","0.66","45.97","2,396,945.00","110,187,561.65","110,187,561.65","Consumo discrecional","2510682","US5246601075","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.66","33.92","3,240,543.00","109,919,218.56","109,919,218.56","Cuidado de la Salud","2684703","US7170811035","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.62","35.72","2,895,317.00","103,420,723.24","103,420,723.24","Servicios","2657802","US6708371033","New York Stock Exchange Inc."
"GXP","GREAT PLAINS ENERGY INC","Equity","0.61","30.69","3,340,734.00","102,527,126.46","102,527,126.46","Servicios","2483706","US3911641005","New York Stock Exchange Inc."
"CF","CF INDUSTRIES HOLDINGS INC","Equity","0.60","28.99","3,490,068.00","101,177,071.32","101,177,071.32","Materiales","B0G4K50","US1252691001","New York Stock Exchange Inc."
"NJR","NEW JERSEY RESOURCES CORP","Equity","0.60","43.65","2,308,997.00","100,787,719.05","100,787,719.05","Servicios","2630513","US6460251068","New York Stock Exchange Inc."
"CNP","CENTERPOINT ENERGY INC","Equity","0.59","29.62","3,363,084.00","99,614,548.08","99,614,548.08","Servicios","2440637","US15189T1079","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.59","46.09","2,156,172.00","99,377,967.48","99,377,967.48","Financieros","2830904","US0549371070","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.53","35.07","2,518,548.00","88,325,478.36","88,325,478.36","Tecnología de la Información","2463247","US4581401001","NASDAQ"
"UBSI","UNITED BANKSHARES INC","Equity","0.52","33.55","2,604,783.00","87,390,469.65","87,390,469.65","Financieros","2905794","US9099071071","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.52","43.66","1,991,626.00","86,954,391.16","86,954,391.16","Energía","2685717","US20825C1045","New York Stock Exchange Inc."
"FII","FEDERATED INVESTORS INC CLASS B","Equity","0.51","27.31","3,137,321.00","85,680,236.51","85,680,236.51","Financieros","2246288","US3142111034","New York Stock Exchange Inc."
"M","MACYS INC","Equity","0.51","20.77","4,095,726.00","85,068,229.02","85,068,229.02","Consumo discrecional","2345022","US55616P1049","New York Stock Exchange Inc."
"HRB","H&R BLOCK INC","Equity","0.50","26.74","3,166,688.00","84,677,237.12","84,677,237.12","Consumo discrecional","2105505","US0936711052","New York Stock Exchange Inc."
"MAT","MATTEL INC","Equity","0.50","16.22","5,209,718.00","84,501,625.96","84,501,625.96","Consumo discrecional","2572303","US5770811025","NASDAQ"
"CNK","CINEMARK HOLDINGS INC","Equity","0.47","33.29","2,387,206.00","79,470,087.74","79,470,087.74","Consumo discrecional","B1W7RQ0","US17243V1026","New York Stock Exchange Inc."
"TRMK","TRUSTMARK CORP","Equity","0.44","29.62","2,468,887.00","73,128,432.94","73,128,432.94","Financieros","2340210","US8984021027","NASDAQ"
"NI","NISOURCE INC","Equity","0.42","26.87","2,624,769.00","70,527,543.03","70,527,543.03","Servicios","2645409","US65473P1057","New York Stock Exchange Inc."
"OLN","OLIN CORP","Equity","0.42","32.23","2,165,772.00","69,802,831.56","69,802,831.56","Materiales","2658526","US6806652052","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.41","24.55","2,779,683.00","68,241,217.65","68,241,217.65","Industriales","2380498","US3696041033","New York Stock Exchange Inc."
"PBI","PITNEY BOWES INC","Equity","0.37","12.85","4,877,705.00","62,678,509.25","62,678,509.25","Industriales","2690506","US7244791007","New York Stock Exchange Inc."
