iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"28-abr-2017"
Total Net Assets,"17,159,240,271.48"
,"187,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"WRK","WESTROCK","Equity","0.86","53.56","2,752,256.00","147,410,831.36","147,410,831.36","Materiales","BYR0914","US96145D1054","New York Stock Exchange Inc."
"WDR","WADDELL AND REED FINANCIAL INC CLA","Equity","0.82","17.99","7,819,876.00","140,679,569.24","140,679,569.24","Financieros","2156503","US9300591008","New York Stock Exchange Inc."
"NUS","NU SKIN ENTERPRISES INC CLASS A","Equity","0.81","55.23","2,525,810.00","139,500,486.30","139,500,486.30","Productos básicos de consumo","2616870","US67018T1051","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","0.80","55.81","2,451,681.00","136,828,316.61","136,828,316.61","Financieros","2359506","US3635761097","New York Stock Exchange Inc."
"PCAR","PACCAR INC","Equity","0.79","66.73","2,045,191.00","136,475,595.43","136,475,595.43","Industriales","2665861","US6937181088","NASDAQ"
"KO","COCA-COLA","Equity","0.78","43.15","3,111,719.00","134,270,674.85","134,270,674.85","Productos básicos de consumo","2206657","US1912161007","New York Stock Exchange Inc."
"AVA","AVISTA CORP","Equity","0.77","40.34","3,303,168.00","133,249,797.12","133,249,797.12","Servicios","2942605","US05379B1070","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.77","45.05","2,951,801.00","132,978,635.05","132,978,635.05","Servicios","2614807","US98389B1008","New York Stock Exchange Inc."
"LEG","LEGGETT & PLATT INC","Equity","0.76","52.54","2,473,033.00","129,933,153.82","129,933,153.82","Consumo discrecional","2510682","US5246601075","New York Stock Exchange Inc."
"SON","SONOCO PRODUCTS","Equity","0.75","52.31","2,470,951.00","129,255,446.81","129,255,446.81","Materiales","2821395","US8354951027","New York Stock Exchange Inc."
"CMS","CMS ENERGY CORP","Equity","0.71","45.40","2,702,746.00","122,704,668.40","122,704,668.40","Servicios","2219224","US1258961002","New York Stock Exchange Inc."
"M","MACYS INC","Equity","0.71","29.22","4,196,308.00","122,616,119.76","122,616,119.76","Consumo discrecional","2345022","US55616P1049","New York Stock Exchange Inc."
"FE","FIRSTENERGY CORP","Equity","0.71","29.94","4,086,565.00","122,351,756.10","122,351,756.10","Servicios","2100920","US3379321074","New York Stock Exchange Inc."
