iShares Select Dividend ETF
Inception Date,"Nov 03, 2003"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"17,107,602,985.27"
Shares Outstanding,"187,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.89","44.35","3,437,446.00","152,450,730.10","152,450,730.10","Utilities","2707677","US7445731067","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.88","72.92","2,068,890.00","150,863,458.80","150,863,458.80","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"PPL","PPL CORP","Equity","0.84","37.39","3,851,569.00","144,010,164.91","144,010,164.91","Utilities","2680905","US69351T1060","New York Stock Exchange Inc."
"WRK","WESTROCK","Equity","0.83","52.03","2,740,109.00","142,567,871.27","142,567,871.27","Materials","BYR0914","US96145D1054","New York Stock Exchange Inc."
"UFS","DOMTAR CORP","Equity","0.82","36.52","3,834,836.00","140,048,210.72","140,048,210.72","Materials","B1T84Z4","US2575592033","New York Stock Exchange Inc."
"NUS","NU SKIN ENTERPRISES INC CLASS A","Equity","0.82","55.54","2,514,626.00","139,662,328.04","139,662,328.04","Consumer Staples","2616870","US67018T1051","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","0.81","56.54","2,440,846.00","138,005,432.84","138,005,432.84","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"PCAR","PACCAR INC","Equity","0.80","67.20","2,036,149.00","136,829,212.80","136,829,212.80","Industrials","2665861","US6937181088","NASDAQ"
"MAT","MATTEL INC","Equity","0.80","25.61","5,313,935.00","136,089,875.35","136,089,875.35","Consumer Discretionary","2572303","US5770811025","NASDAQ"
"WDR","WADDELL & REED FINANCIAL INC. CL A","Equity","0.78","17.00","7,819,876.00","132,937,892.00","132,937,892.00","Financials","2156503","US9300591008","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.77","42.44","3,096,571.00","131,418,473.24","131,418,473.24","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.76","44.45","2,938,695.00","130,624,992.75","130,624,992.75","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"SON","SONOCO PRODUCTS CO.","Equity","0.76","52.92","2,458,870.00","130,123,400.40","130,123,400.40","Materials","2821395","US8354951027","New York Stock Exchange Inc."
"FE","FIRSTENERGY CORP","Equity","0.76","31.82","4,066,561.00","129,397,971.02","129,397,971.02","Utilities","2100920","US3379321074","New York Stock Exchange Inc."
"AVA","AVISTA CORP.","Equity","0.75","39.05","3,297,894.00","128,782,760.70","128,782,760.70","Utilities","2942605","US05379B1070","New York Stock Exchange Inc."
"LEG","LEGGETT & PLATT INC","Equity","0.73","50.32","2,469,085.00","124,244,357.20","124,244,357.20","Consumer Discretionary","2510682","US5246601075","New York Stock Exchange Inc."
"M","MACYS INC","Equity","0.72","29.64","4,175,655.00","123,766,414.20","123,766,414.20","Consumer Discretionary","2345022","US55616P1049","New York Stock Exchange Inc."
"HFC","HOLLYFRONTIER CORP","Equity","0.71","28.34","4,289,041.00","121,551,421.94","121,551,421.94","Energy","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"CMS","CMS ENERGY CORP","Equity","0.71","44.74","2,698,432.00","120,727,847.68","120,727,847.68","Utilities","2219224","US1258961002","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.68","35.98","3,249,402.00","116,913,483.96","116,913,483.96","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"SYY","SYSCO CORP","Equity","0.68","51.92","2,234,888.00","116,035,384.96","116,035,384.96","Consumer Staples","2868165","US8718291078","New York Stock Exchange Inc."
"LNT","ALLIANT ENERGY CORP","Equity","0.67","39.61","2,907,227.00","115,155,261.47","115,155,261.47","Utilities","2973821","US0188021085","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.67","34.21","3,344,390.00","114,411,581.90","114,411,581.90","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
